Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createSPUser,5,247,235,277,312,312,203,312,0.000%,1.29500,0.33,0.00
TOTAL,5,247,235,277,312,312,203,312,0.000%,1.29500,0.33,0.00
