Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createSPUser,5,240,214,250,337,337,191,337,0.000%,1.07504,0.27,0.00
TOTAL,5,240,214,250,337,337,191,337,0.000%,1.07504,0.27,0.00
