Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createAccount,5,101,91,133,161,161,60,161,0.000%,1.45012,0.57,0.00
TOTAL,5,101,91,133,161,161,60,161,0.000%,1.45012,0.57,0.00
