Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createAccount,5,82,89,94,96,96,65,96,0.000%,1.31822,0.52,0.00
TOTAL,5,82,89,94,96,96,65,96,0.000%,1.31822,0.52,0.00
