timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency
20/07/2017 16:13,1492,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9549,2907,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,620
20/07/2017 16:13,35,69 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,200,OK,Thread Group 1-1,text,true,,1323,604,1,1,http://10.10.3.16:8080/escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,34
20/07/2017 16:13,15,71 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-1,text,true,,6664,595,1,1,http://10.10.3.16:8080/escm/css/theme/jquery-ui-1.8.17.custom.css,13
20/07/2017 16:13,49,83 /escm/js/usageGraphJS/jquery.jqplot.min.js,200,OK,Thread Group 1-1,text,true,,43049,579,1,1,http://10.10.3.16:8080/escm/js/usageGraphJS/jquery.jqplot.min.js,26
20/07/2017 16:13,8,78 /escm/js/jquery-validate/jquery.metadata.js,200,OK,Thread Group 1-1,text,true,,1938,580,1,1,http://10.10.3.16:8080/escm/js/jquery-validate/jquery.metadata.js,8
20/07/2017 16:13,12,80 /escm/js/usageGraphJS/excanvas.min.js,200,OK,Thread Group 1-1,text,true,,8168,574,1,1,http://10.10.3.16:8080/escm/js/usageGraphJS/excanvas.min.js,9
20/07/2017 16:13,11,84 /escm/js/validator.js,200,OK,Thread Group 1-1,text,true,,5286,558,1,1,http://10.10.3.16:8080/escm/js/validator.js,10
20/07/2017 16:13,12,81 /escm/js/jquery-validate/jquery.validate.min.js,200,OK,Thread Group 1-1,text,true,,6824,584,1,1,http://10.10.3.16:8080/escm/js/jquery-validate/jquery.validate.min.js,10
20/07/2017 16:13,10,85 /escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,200,OK,Thread Group 1-1,text,true,,4130,591,1,1,http://10.10.3.16:8080/escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,9
20/07/2017 16:13,7,82 /escm/js/jquery-validate/additional-methods.min.js,200,OK,Thread Group 1-1,text,true,,2753,587,1,1,http://10.10.3.16:8080/escm/js/jquery-validate/additional-methods.min.js,7
20/07/2017 16:13,16,77 /escm/js/jquery.tablesorter.js,200,OK,Thread Group 1-1,text,true,,8739,567,1,1,http://10.10.3.16:8080/escm/js/jquery.tablesorter.js,13
