Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,20,116,33,624,252,154.10,0.00%,32.1,187.05,5976.0
Hit_the_portal_with-cache,20,116,33,624,252,154.10,0.00%,32.1,187.05,5976.0
676 /escm/login/doAuth?id=loginform,20,1100,879,1742,1228,180.56,0.00%,11.5,106.82,9527.0
680 /escm/dashboard/myAccountInfo,20,817,689,1004,913,78.83,0.00%,19.9,164.22,8441.5
SP_user_login_46_with_cache,20,1917,1589,2605,2141,219.06,0.00%,7.7,134.72,17968.4
681 /escm/customer/index,20,818,664,1321,912,137.46,0.00%,15.1,237.26,16047.0
682 /escm/customer/list,20,813,612,1390,874,149.18,0.00%,14.4,221.74,15781.0
684 /escm/customer/setSearchBy,20,11,8,33,16,5.51,0.00%,606.1,270.48,457.0
686 /escm/messages,20,8,7,14,11,1.82,0.00%,1428.6,643.14,461.0
685 /escm/customer/listByCriteria,20,236,160,407,321,68.67,0.00%,49.1,216.04,4502.0
687 /escm/customer/renderCustomerOrganizationDetails,20,499,373,1010,553,132.52,0.00%,19.8,777.41,40201.4
688 /escm/messages,20,10,7,18,14,2.85,0.00%,1111.1,500.22,461.0
689 /escm/messages,20,9,6,24,11,3.90,0.00%,833.3,375.16,461.0
List_organizations_with_cache,20,2408,1914,2944,2819,300.73,0.00%,6.8,519.94,78371.4
524 /escm/login/auth,20,146,76,469,182,90.45,0.00%,.3,1.94,5976.0
Hit_the_portal_new,20,556,332,1266,627,205.30,0.00%,.3,190.70,591832.0
540 /success.txt,20,42016,41995,42213,42019,45.73,100.00%,.2,0.42,2206.0
541 /escm/login/doAuth?id=loginform,20,10687,8864,15105,12290,1541.26,0.00%,1.3,12.10,9355.8
543 /escm/,20,8222,5662,9234,9121,1045.81,0.00%,.3,2.48,8785.5
545 /escm/dashboard/index,20,7932,5413,11690,9478,1678.09,0.00%,.3,2.35,8626.2
546 /escm/dashboard/myAccountInfo,20,7790,4786,13688,10880,2613.13,0.00%,1.5,12.06,8452.3
SP_user_login_46_new,20,77494,70250,83413,80454,3500.23,100.00%,.1,47.23,346761.8
598 /escm/customer/index,20,8336,4956,13542,11360,2592.29,0.00%,1.5,23.15,16051.1
600 /escm/customer/list,20,6288,3088,10627,8467,1935.82,0.00%,1.9,29.01,15785.4
650 /escm/customer/setSearchBy,20,33,16,96,71,23.71,0.00%,208.3,92.98,457.0
652 /escm/images/sidebar-bg.jpg,20,9,5,29,13,5.46,0.00%,689.7,1146.96,1703.0
654 /escm/messages,20,23,12,84,43,17.99,0.00%,238.1,107.19,461.0
653 /escm/customer/listByCriteria,20,762,321,1885,1538,456.09,0.00%,10.6,46.65,4502.0
658 /escm/customer/renderCustomerOrganizationDetails,20,1919,711,5267,5223,1518.71,0.00%,3.8,149.08,40201.6
673 /escm/messages,20,24,10,74,52,18.50,0.00%,270.3,121.67,461.0
674 /escm/messages,20,21,9,56,49,14.83,0.00%,357.1,160.78,461.0
List_Organizations_without_cache,20,19289,14894,27439,24426,3414.54,0.00%,.7,508.76,714748.1
TOTAL,640,6263,5,83413,13287,15175.78,6.25%,.1,3.15,61920.6
