sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,5,141,39,55,546,546,34,546,0.00%,9.2,46.7,202.35
43 /escm/images/favicon.ico,5,8,6,12,14,14,5,14,0.00%,357.1,66740.7,3.67
Hit_the_portal,5,431,314,359,878,878,296,878,100.00%,5.7,3848.7,224.41
65 /escm/login/doAuth?id=loginform,5,8176,8457,10246,10473,10473,5657,10473,0.00%,.5,4.4,2025.32
99 /escm/images/favicon.ico,5,10,6,11,27,27,3,27,0.00%,185.2,22.6,8.84
sp_userlogin_46,5,8796,9046,10916,11035,11035,6274,11035,0.00%,.5,203.5,2013.84
49 /escm/productOffer/index,5,4279,4277,5683,5877,5877,2185,5877,0.00%,.9,10.0,1394.90
61 /escm/productOffer/getAllService,5,54,16,21,207,207,14,207,0.00%,24.2,11.5,76.34
59 /escm/productOffer/offerList,5,41,39,39,65,65,31,65,0.00%,76.9,422.0,12.37
62 /escm/messages,5,14,15,17,19,19,8,19,0.00%,263.2,118.5,4.00
63 /escm/messages,5,9,8,8,15,15,6,15,0.00%,333.3,150.1,3.10
65 /escm/recentItem,5,9,8,10,11,11,8,11,0.00%,454.5,151.4,1.26
66 /escm/recentItem,5,8,7,8,12,12,6,12,0.00%,416.7,138.8,2.10
60 /escm/productOffer/offerList,5,157,158,161,172,172,144,172,0.00%,29.1,214.0,9.33
67 /escm/messages,5,8,8,9,11,11,8,11,0.00%,454.5,204.6,1.17
72 /escm/recentItem,5,8,7,9,12,12,7,12,0.00%,416.7,138.8,1.96
List_offers,5,4668,4657,6214,6242,6242,2482,6242,0.00%,.8,83.8,1448.89
133 /escm/productOffer/productModelSearch/productModelSearch,5,2348,2281,2299,4056,4056,1543,4056,0.00%,1.2,25.7,915.42
178 /escm/images/favicon.ico,5,4,5,5,5,5,3,5,0.00%,1000.0,122.1,0.80
184 /escm/productOffer/showOfferDetails,5,783,762,812,924,924,699,924,0.00%,5.4,49.5,80.55
185 /escm/messages,5,8,7,8,11,11,7,11,0.00%,454.5,204.6,1.55
186 /escm/recentItem,5,9,9,11,11,11,7,11,0.00%,454.5,151.4,1.79
Offer_search_by_id,5,3842,3877,3907,5614,5614,2907,5614,0.00%,.9,429.1,989.14
TOTAL,115,1470,21,5683,6711,10916,3,11035,4.35%,10.4,893.1,2717.61
