Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,25,762,50,1059,998,325.75,80.00%,.4,2.76,6894.7
Hit_the_portal_with-cache,25,762,50,1059,999,325.78,80.00%,.4,2.76,6894.7
143 /escm/productOffer/index,25,985,46,2191,1448,545.09,0.00%,.4,4.12,10435.6
144 /escm/productOffer/list,25,855,54,1271,1165,411.31,0.00%,.4,4.11,10307.0
147 /escm/productOffer/getAllService,25,109,16,335,260,107.16,20.00%,.4,0.32,788.2
148 /escm/messages,25,19,9,42,35,9.96,20.00%,.4,0.30,727.7
146 /escm/productOffer/offerList,25,145,38,264,199,59.98,20.00%,.4,3.27,8081.4
149 /escm/recentItem,25,20,8,43,33,11.06,20.00%,.4,0.27,674.9
150 /escm/messages,25,16,9,42,29,8.61,20.00%,.4,0.30,727.5
151 /escm/recentItem,25,17,8,46,36,11.44,20.00%,.4,0.27,674.4
List_offers_46_SP_with_cache,25,2170,323,3661,2991,981.84,20.00%,.4,12.50,32416.8
676 /escm/login/doAuth?id=loginform,25,1476,510,2913,2124,535.11,0.00%,.4,3.74,9503.4
680 /escm/dashboard/myAccountInfo,25,1015,307,1708,1154,232.55,0.00%,.4,3.37,8450.3
SP_user_login_46_with_cache,25,2491,887,4067,3218,668.12,0.00%,.4,6.94,17953.8
167 /escm/productOffer/productModelSearch/productModelSearch,25,2046,1568,3025,2296,303.61,0.00%,.4,9.22,23515.6
168 /escm/productOffer/showOfferDetails,25,843,597,1118,937,126.58,0.00%,.4,4.00,10018.0
169 /escm/messages,25,14,8,41,17,6.41,0.00%,.4,0.19,461.0
170 /escm/recentItem,25,14,7,36,23,7.67,0.00%,.4,0.14,341.0
Offer_search_by_offerid_46_with_cache,25,2918,2241,3848,3309,343.84,0.00%,.4,13.22,34335.5
TOTAL,475,878,7,4067,2432,985.86,15.79%,7.5,70.54,9642.2
