sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,474,129,PASS
43 /escm/images/favicon.ico,11,14,FAIL
Hit_the_portal,805,540,PASS
65 /escm/login/doAuth?id=loginform,1747,2444,FAIL
99 /escm/images/favicon.ico,4,11,FAIL
sp_userlogin_46,2348,3346,FAIL
324 /escm/customer/index,555,1575,FAIL
381 /escm/customer/setSearchBy,15,14,PASS
374 /escm/images/favicon.ico,6,6,PASS
382 /escm/customer/listByCriteria,309,834,FAIL
384 /escm/messages,9,17,FAIL
385 /escm/customer/renderCustomerOrganizationDetails,703,954,FAIL
405 /escm/messages,8,23,FAIL
406 /escm/messages,8,13,FAIL
List_Organizations,2386,4651,FAIL
128 /escm/customer/listByCriteria,419,739,FAIL
129 /escm/customer/renderCustomerOrganizationDetails,1382,2472,FAIL
130 /escm/messages,11,24,FAIL
131 /escm/messages,11,20,FAIL
org_search_by_orgid,1826,3269,FAIL
TOTAL,651,1055,FAIL
