sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,30,112,53,254,373,582,35,582,0.00%,.5,2.9,131.46
Hit_the_portal_with-cache,30,112,53,254,373,582,35,582,0.00%,.5,2.9,131.46
676 /escm/login/doAuth?id=loginform,30,3260,3369,4841,4862,4944,1006,4944,0.00%,.5,4.4,1301.97
680 /escm/dashboard/myAccountInfo,30,3248,3589,4702,4760,5084,744,5084,0.00%,.5,3.8,1360.31
SP_user_login_46_with_cache,30,6508,6553,9313,9593,9946,1841,9946,0.00%,.4,7.7,2606.33
681 /escm/customer/index,30,3266,3177,4695,4768,4921,805,4921,0.00%,.5,7.2,1289.44
682 /escm/customer/list,30,3062,3133,4576,4638,4982,1191,4982,0.00%,.5,7.1,1211.79
684 /escm/customer/setSearchBy,30,17,16,24,24,32,10,32,0.00%,.5,.2,5.35
686 /escm/messages,30,12,10,20,23,52,7,52,0.00%,.5,.2,8.74
685 /escm/customer/listByCriteria,30,363,355,555,564,657,167,657,0.00%,.5,2.1,129.28
687 /escm/customer/renderCustomerOrganizationDetails,30,554,498,814,839,878,324,878,0.00%,.5,19.3,149.10
688 /escm/messages,30,12,9,24,26,40,7,40,0.00%,.5,.2,7.75
689 /escm/messages,30,13,9,26,33,44,7,44,0.00%,.5,.2,9.92
List_organizations_with_cache,30,7304,7770,9860,9903,10351,3402,10351,0.00%,.4,33.1,2203.69
11 /escm/customer/listByCriteria,30,509,486,624,685,716,397,716,0.00%,.5,1.6,85.09
12 /escm/customer/renderCustomerOrganizationDetails,30,1842,1763,2149,2317,2713,1343,2713,0.00%,.5,69.3,310.69
13 /escm/messages,30,18,12,46,48,69,8,69,0.00%,.5,.2,15.03
14 /escm/messages,30,11,9,20,26,39,7,39,0.00%,.5,.2,7.67
organization_search_by_organization_id_with_cache,30,2382,2398,2690,2842,3207,1824,3207,0.00%,.5,70.7,331.66
TOTAL,570,1716,475,4753,7837,9704,7,10351,0.00%,8.2,214.7,2399.22
