Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateOrganization,5,93,94,99,120,120,76,120,0.000%,1.33404,0.54,0.00
TOTAL,5,93,94,99,120,120,76,120,0.000%,1.33404,0.54,0.00
