Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateOrganization,5,83,81,87,100,100,73,100,0.000%,1.35906,0.55,0.00
TOTAL,5,83,81,87,100,100,73,100,0.000%,1.35906,0.55,0.00
