Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateOrganization,5,86,89,90,106,106,73,106,0.000%,1.28800,0.52,0.00
TOTAL,5,86,89,90,106,106,73,106,0.000%,1.28800,0.52,0.00
