Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,1,552,552,552,552,0.00,0.00%,1.8,10.57,5976.0
Hit_the_portal_with-cache,1,552,552,552,552,0.00,0.00%,1.8,10.57,5976.0
676 /escm/login/doAuth?id=loginform,1,1398,1398,1398,1398,0.00,0.00%,.7,6.70,9591.0
680 /escm/dashboard/myAccountInfo,1,699,699,699,699,0.00,0.00%,1.4,11.80,8446.0
SP_user_login_46_with_cache,1,2097,2097,2097,2097,0.00,0.00%,.5,8.40,18037.0
814 /escm/order/index,1,1155,1155,1155,1155,0.00,0.00%,.9,18.78,22215.0
816 /escm/order/list,1,1209,1209,1209,1209,0.00,0.00%,.8,17.82,22060.0
817 /escm/order/showOrderDetail,1,1754,1754,1754,1754,0.00,0.00%,.6,12.46,22381.0
818 /escm/messages,1,23,23,23,23,0.00,0.00%,43.5,19.57,461.0
819 /escm/recentItem,1,18,18,18,18,0.00,0.00%,55.6,18.50,341.0
List_orders_with_cache,1,4159,4159,4159,4159,0.00,0.00%,.2,15.84,67458.0
820 /escm/order/searchOrder,1,280,280,280,280,0.00,0.00%,3.6,14.89,4268.0
822 /escm/messages,1,18,18,18,18,0.00,0.00%,55.6,25.01,461.0
823 /escm/recentItem,1,14,14,14,14,0.00,0.00%,71.4,23.79,341.0
821 /escm/order/showOrderDetail,1,1443,1443,1443,1443,0.00,0.00%,.7,15.15,22384.0
824 /escm/messages,1,17,17,17,17,0.00,0.00%,58.8,26.48,461.0
825 /escm/recentItem,1,23,23,23,23,0.00,0.00%,43.5,14.48,341.0
order_search_by_offername_with_cache,1,1795,1795,1795,1795,0.00,0.00%,.6,15.37,28256.0
TOTAL,18,955,14,4159,1795,1042.36,0.00%,4.3,56.23,13303.0
