timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency
16/10/2017 15:16,541,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,http://10.10.3.16:8080/escm/login/auth,538
16/10/2017 15:16,541,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,null,538
16/10/2017 15:16,74,675 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5976,2,2,http://10.10.3.16:8080/escm/login/auth,72
16/10/2017 15:16,74,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5976,2,2,null,72
16/10/2017 15:16,57,675 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5976,3,3,http://10.10.3.16:8080/escm/login/auth,53
16/10/2017 15:16,57,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5976,3,3,null,53
16/10/2017 15:16,1427,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9596,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,310
16/10/2017 15:16,1323,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,9596,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,255
16/10/2017 15:16,57,675 /escm/login/auth,200,OK,Thread Group 1-4,text,true,,5976,4,4,http://10.10.3.16:8080/escm/login/auth,55
16/10/2017 15:16,57,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5976,4,4,null,55
16/10/2017 15:16,891,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8454,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,890
16/10/2017 15:16,2318,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18050,4,4,null,1200
16/10/2017 15:16,1296,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,9595,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,272
16/10/2017 15:16,981,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-2,text,true,,8450,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,979
16/10/2017 15:16,2304,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,18046,4,4,null,1234
16/10/2017 15:16,68,675 /escm/login/auth,200,OK,Thread Group 1-5,text,true,,5976,5,5,http://10.10.3.16:8080/escm/login/auth,65
16/10/2017 15:16,68,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5976,5,5,null,65
