sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,20,128,58,264,438,634,29,634,0.00%,31.5,161.0,152.39
43 /escm/images/favicon.ico,20,14,9,27,28,79,5,79,0.00%,253.2,47309.9,16.00
Hit_the_portal,20,517,395,897,903,1282,286,1282,100.00%,.3,220.6,250.62
65 /escm/login/doAuth?id=loginform,20,1365,1284,1657,1918,2341,779,2341,0.00%,8.5,80.0,351.82
99 /escm/images/favicon.ico,20,7,5,14,16,25,2,25,0.00%,800.0,97.7,5.47
sp_userlogin_46,20,2218,2128,2834,3121,3488,1347,3488,0.00%,5.7,2576.1,536.23
324 /escm/customer/index,20,899,817,1217,1408,1476,463,1476,0.00%,13.6,137.3,264.95
381 /escm/customer/setSearchBy,20,18,15,24,41,58,8,58,0.00%,344.8,153.9,11.63
374 /escm/images/favicon.ico,20,6,3,9,15,41,2,41,0.00%,487.8,59.5,8.41
382 /escm/customer/listByCriteria,20,352,346,512,543,565,172,565,0.00%,35.4,144.5,120.94
384 /escm/messages,20,11,9,17,18,22,7,22,0.00%,909.1,409.3,4.47
385 /escm/customer/renderCustomerOrganizationDetails,20,576,559,710,913,1238,336,1238,0.00%,16.2,626.2,203.12
405 /escm/messages,20,11,8,14,16,44,5,44,0.00%,454.5,204.6,8.15
406 /escm/messages,20,11,9,18,20,22,6,22,0.00%,909.1,409.3,4.73
List_Organizations,20,3053,2813,3900,3914,3963,2115,3963,0.00%,5.0,3081.6,623.83
128 /escm/customer/listByCriteria,20,459,434,527,584,591,404,591,0.00%,33.8,110.2,54.19
129 /escm/customer/renderCustomerOrganizationDetails,20,1715,1701,2285,2400,2433,1221,2433,0.00%,8.2,1178.4,363.32
130 /escm/messages,20,19,11,32,40,103,6,103,0.00%,194.2,87.4,21.04
131 /escm/messages,20,12,9,20,31,46,6,46,0.00%,434.8,195.7,9.77
org_search_by_orgid,20,2213,2211,2793,2876,2970,1667,2970,0.00%,6.7,994.1,397.15
TOTAL,400,680,220,2211,2728,3685,2,3963,5.00%,6.3,715.2,942.24
