Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,20,169,37,905,511,245.91,0.00%,.3,1.92,5976.0
Hit_the_portal_with-cache,20,169,37,905,511,245.91,0.00%,.3,1.92,5976.0
676 /escm/login/doAuth?id=loginform,20,2252,1024,4083,3383,922.63,0.00%,.3,2.92,9587.2
680 /escm/dashboard/myAccountInfo,20,2202,754,3750,3491,1085.39,0.00%,.3,2.59,8441.9
SP_user_login_46_with_cache,20,4454,1809,7574,6527,1916.97,0.00%,.3,5.21,18029.0
681 /escm/customer/index,20,2045,753,3175,3125,884.06,0.00%,.3,4.96,16046.8
682 /escm/customer/list,20,2097,784,3912,3118,871.88,0.00%,5.1,78.79,15780.6
684 /escm/customer/setSearchBy,20,19,9,38,30,7.68,0.00%,526.3,234.89,457.0
686 /escm/messages,20,18,8,67,31,13.46,0.00%,298.5,134.39,461.0
685 /escm/customer/listByCriteria,20,506,251,1155,881,248.32,0.00%,17.3,74.62,4413.0
687 /escm/customer/renderCustomerOrganizationDetails,20,662,399,995,898,163.23,0.00%,20.1,788.04,40146.2
688 /escm/messages,20,24,7,127,41,28.04,0.00%,157.5,70.90,461.0
689 /escm/messages,20,22,7,178,25,36.30,0.00%,112.4,50.58,461.0
List_organizations_with_cache,20,5396,2555,7980,7447,1612.64,0.00%,.3,22.48,78226.6
11 /escm/customer/listByCriteria,20,545,459,671,604,54.59,0.00%,29.8,97.16,3338.0
12 /escm/customer/renderCustomerOrganizationDetails,20,2040,1632,2697,2472,292.86,0.00%,7.4,1067.69,147433.2
13 /escm/messages,20,15,9,40,28,7.92,0.00%,500.0,225.10,461.0
14 /escm/messages,20,12,7,24,20,4.66,0.00%,833.3,375.16,461.0
organization_search_by_organization_id_with_cache,20,2613,2124,3341,3092,326.83,0.00%,6.0,886.79,151693.2
TOTAL,380,1329,7,7980,3356,1719.37,0.00%,5.6,145.91,26728.9
