Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,30,157,36,679,503,187.77,0.00%,44.2,257.85,5976.0
Hit_the_portal_with-cache,30,157,36,679,503,187.77,0.00%,44.2,257.85,5976.0
143 /escm/productOffer/index,30,63,41,108,82,16.87,0.00%,277.8,531.14,1958.0
144 /escm/productOffer/list,30,62,38,117,84,17.79,0.00%,256.4,490.28,1958.0
147 /escm/productOffer/getAllService,30,49,25,123,71,23.77,100.00%,243.9,478.67,2009.6
148 /escm/messages,30,30,22,71,35,10.39,100.00%,422.5,740.17,1793.8
146 /escm/productOffer/offerList,30,44,32,142,54,20.24,100.00%,211.3,414.63,2009.7
149 /escm/recentItem,30,42,29,87,63,15.36,100.00%,344.8,676.65,2009.4
150 /escm/messages,30,31,21,56,44,9.63,100.00%,535.7,938.28,1793.5
151 /escm/recentItem,30,44,29,82,67,13.28,100.00%,365.9,717.73,2008.9
List_offers_46_SP_with_cache,30,368,260,497,427,56.46,100.00%,60.4,916.09,15540.8
676 /escm/login/doAuth?id=loginform,30,1202,644,2301,1759,465.16,0.00%,13.0,121.14,9514.1
680 /escm/dashboard/myAccountInfo,30,881,309,1951,1497,494.82,0.00%,15.4,126.42,8418.6
SP_user_login_46_with_cache,30,2083,984,3498,3239,860.31,0.00%,8.6,150.19,17932.7
167 /escm/productOffer/productModelSearch/productModelSearch,30,2373,1285,3030,2970,479.29,0.00%,9.9,227.27,23505.1
168 /escm/productOffer/showOfferDetails,30,956,628,1511,1237,197.37,0.00%,19.9,194.24,10017.8
169 /escm/messages,30,20,8,74,31,13.45,0.00%,405.4,182.51,461.0
170 /escm/recentItem,30,15,7,65,33,11.84,0.00%,461.5,153.70,341.0
Offer_search_by_offerid_46_with_cache,30,3365,2172,4187,4026,514.11,0.00%,7.2,240.18,34324.9
TOTAL,570,628,7,4187,2390,998.32,36.84%,136.1,1032.42,7765.7
