Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,1,629,629,629,629,0.00,0.00%,1.6,9.28,5976.0
Hit_the_portal_with-cache,1,629,629,629,629,0.00,0.00%,1.6,9.28,5976.0
676 /escm/login/doAuth?id=loginform,1,1234,1234,1234,1234,0.00,0.00%,.8,7.59,9588.0
680 /escm/dashboard/myAccountInfo,1,755,755,755,755,0.00,0.00%,1.3,10.92,8441.0
SP_user_login_46_with_cache,1,1989,1989,1989,1989,0.00,0.00%,.5,8.85,18029.0
681 /escm/customer/index,1,704,704,704,704,0.00,0.00%,1.4,22.26,16047.0
682 /escm/customer/list,1,686,686,686,686,0.00,0.00%,1.5,22.47,15781.0
684 /escm/customer/setSearchBy,1,22,22,22,22,0.00,0.00%,45.5,20.29,457.0
686 /escm/messages,1,13,13,13,13,0.00,0.00%,76.9,34.63,461.0
685 /escm/customer/listByCriteria,1,344,344,344,344,0.00,0.00%,2.9,12.53,4413.0
687 /escm/customer/renderCustomerOrganizationDetails,1,504,504,504,504,0.00,0.00%,2.0,77.79,40147.0
688 /escm/messages,1,11,11,11,11,0.00,0.00%,90.9,40.93,461.0
689 /escm/messages,1,9,9,9,9,0.00,0.00%,111.1,50.02,461.0
List_organizations_with_cache,1,2293,2293,2293,2293,0.00,0.00%,.4,33.32,78228.0
11 /escm/customer/listByCriteria,1,527,527,527,527,0.00,0.00%,1.9,6.19,3338.0
12 /escm/customer/renderCustomerOrganizationDetails,1,1288,1288,1288,1288,0.00,0.00%,.8,111.78,147434.0
13 /escm/messages,1,10,10,10,10,0.00,0.00%,100.0,45.02,461.0
14 /escm/messages,1,10,10,10,10,0.00,0.00%,100.0,45.02,461.0
organization_search_by_organization_id_with_cache,1,1835,1835,1835,1835,0.00,0.00%,.5,80.73,151694.0
TOTAL,19,710,9,2293,1835,694.37,0.00%,8.3,216.29,26729.2
