sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,559,365,PASS
43 /escm/images/favicon.ico,10,17,FAIL
Hit_the_portal,907,812,PASS
65 /escm/login/doAuth?id=loginform,1360,8465,FAIL
99 /escm/images/favicon.ico,13,7,PASS
sp_userlogin_46,1992,9444,FAIL
49 /escm/productOffer/index,1270,6356,FAIL
61 /escm/productOffer/getAllService,116,105,PASS
59 /escm/productOffer/offerList,121,172,FAIL
62 /escm/messages,20,15,PASS
63 /escm/messages,8,10,FAIL
65 /escm/recentItem,20,14,PASS
66 /escm/recentItem,7,13,FAIL
60 /escm/productOffer/offerList,185,747,FAIL
67 /escm/messages,8,19,FAIL
72 /escm/recentItem,6,12,FAIL
List_offers,1841,7633,FAIL
133 /escm/productOffer/productModelSearch/productModelSearch,1583,8690,FAIL
178 /escm/images/favicon.ico,6,10,FAIL
184 /escm/productOffer/showOfferDetails,780,2989,FAIL
185 /escm/messages,8,46,FAIL
186 /escm/recentItem,7,12,FAIL
Offer_search_by_id,3072,12986,FAIL
TOTAL,604,2563,FAIL
