Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,20,286,46,737,628,246.41,0.00%,27.1,158.37,5976.0
Hit_the_portal_with-cache,20,286,46,737,628,246.41,0.00%,27.1,158.37,5976.0
676 /escm/login/doAuth?id=loginform,20,7174,1139,13052,12234,4573.42,0.00%,1.5,14.25,9520.0
680 /escm/dashboard/myAccountInfo,20,4481,922,10383,7684,2614.62,0.00%,1.9,15.87,8436.4
SP_user_login_46_with_cache,20,11655,2090,20129,18700,6599.97,0.00%,1.0,17.42,17956.4
193 /escm/order/index,20,5677,1507,15110,7069,2995.52,0.00%,.3,6.47,22211.1
194 /escm/order/list,20,5754,1680,14024,6323,2963.94,0.00%,.3,6.50,22056.5
196 /escm/order/showOrderDetail,20,3845,1364,13486,11569,3796.92,0.00%,.3,6.97,22379.8
197 /escm/messages,20,18,11,44,28,7.75,0.00%,.3,0.15,461.0
198 /escm/recentItem,20,17,8,52,22,10.52,0.00%,.3,0.11,341.0
List_orders_with_cache,20,15313,12501,22770,19105,2850.38,0.00%,.3,17.74,67449.4
199 /escm/order/searchOrder,20,540,394,881,762,122.46,0.00%,.3,1.12,3495.0
201 /escm/messages,20,25,10,67,53,17.54,0.00%,.3,0.15,461.0
202 /escm/recentItem,20,20,10,59,48,14.73,0.00%,.3,0.11,341.0
200 /escm/order/showOrderDetail,20,2946,2249,4320,3908,585.15,0.00%,.3,7.41,23934.7
203 /escm/messages,20,23,13,93,31,19.23,0.00%,.3,0.15,461.0
204 /escm/recentItem,20,16,8,37,25,7.12,0.00%,.3,0.11,341.0
Order_search_by_order_id_with_cache,20,3571,2769,4895,4510,610.54,0.00%,.3,8.87,29033.7
TOTAL,360,3425,8,22770,12759,4973.41,0.00%,4.8,63.34,13379.5
