Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
88 /escm/login/auth,20,182,40,696,319,166.80,0.00%,.3,1.93,5976.0
93 /escm/images/favicon.ico,20,11,5,44,16,8.32,0.00%,.3,62.25,191359.0
New_hit_the_portal_4.6,20,809,423,1822,1194,338.50,0.00%,.3,247.25,782623.0
158 /escm/login/doAuth?id=loginform,20,3017,981,6507,5792,2066.04,0.00%,.3,2.84,9556.7
184 /escm/images/favicon.ico,20,8,2,28,27,8.31,0.00%,.3,0.04,125.0
new_SP_user_login_4.6,20,4406,1779,8010,7661,2271.53,0.00%,.3,175.30,607273.7
1 /escm/order/index,20,3936,1212,8189,6601,2286.25,0.00%,.3,6.52,22173.2
51 /escm/images/favicon.ico,20,9,2,32,19,8.49,0.00%,.3,0.04,125.0
56 /escm/images/sidebar-bg.jpg,20,8,3,37,15,7.95,0.00%,.3,0.55,1703.0
59 /escm/order/showOrderDetail,20,5480,1326,16351,14433,5198.90,0.00%,.3,6.15,22386.6
69 /escm/messages,20,13,8,26,23,5.05,0.00%,.3,0.15,461.0
70 /escm/recentItem,20,11,7,30,17,6.34,0.00%,.3,0.11,341.0
new_List_Orders,20,10834,4574,19570,18655,5209.99,0.00%,.3,209.60,744666.7
TOTAL,260,2209,2,19570,7164,3898.78,0.00%,3.7,656.58,183751.5
