Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,10,179,50,600,505,194.25,0.00%,16.7,97.27,5976.0
Hit_the_portal_with-cache,10,179,50,601,505,194.46,0.00%,16.6,97.10,5976.0
676 /escm/login/doAuth?id=loginform,10,1760,1326,2682,2073,405.99,0.00%,3.7,34.93,9593.6
680 /escm/dashboard/myAccountInfo,10,1472,935,2314,2096,437.17,0.00%,4.3,35.66,8448.7
SP_user_login_46_with_cache,10,3233,2277,4456,3828,676.33,0.00%,2.2,39.54,18042.3
143 /escm/productOffer/index,10,1417,1017,2080,1677,300.17,0.00%,4.8,58.94,12553.8
144 /escm/productOffer/list,10,1409,932,2455,1909,461.20,0.00%,4.1,49.30,12392.7
147 /escm/productOffer/getAllService,10,106,20,276,257,93.36,0.00%,36.2,17.30,489.0
148 /escm/messages,10,22,11,71,29,17.27,0.00%,140.8,63.41,461.0
146 /escm/productOffer/offerList,10,261,134,492,451,110.66,0.00%,20.3,190.67,9606.0
149 /escm/recentItem,10,17,9,39,26,8.94,0.00%,256.4,85.39,341.0
150 /escm/messages,10,13,10,26,15,4.43,0.00%,384.6,173.15,461.0
151 /escm/recentItem,10,13,8,30,16,5.90,0.00%,333.3,111.00,341.0
List_offers_46_SP_with_cache,10,3262,2208,4459,4133,700.92,0.00%,2.2,80.26,36645.5
TOTAL,140,953,8,4459,2682,1179.61,0.00%,31.4,265.72,8666.3
