Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,30,96,35,529,197,101.21,0.00%,56.7,330.96,5976.0
Hit_the_portal_with-cache,30,96,35,529,197,101.20,0.00%,56.7,330.96,5976.0
676 /escm/login/doAuth?id=loginform,30,1326,990,1894,1547,214.13,0.00%,15.8,147.05,9506.4
680 /escm/dashboard/myAccountInfo,30,1004,757,1562,1162,168.75,0.00%,19.2,158.33,8441.6
SP_user_login_46_with_cache,30,2330,1764,2900,2797,308.05,0.00%,10.3,181.32,17948.0
681 /escm/customer/index,30,977,728,1450,1189,168.15,0.00%,20.7,324.22,16046.9
682 /escm/customer/list,30,991,692,1742,1180,210.44,0.00%,17.2,265.40,15780.6
684 /escm/customer/setSearchBy,30,15,8,61,22,10.29,0.00%,491.8,219.49,457.0
686 /escm/messages,30,9,7,33,11,4.61,0.00%,909.1,409.27,461.0
685 /escm/customer/listByCriteria,30,324,183,828,469,132.95,0.00%,36.2,159.29,4502.0
687 /escm/customer/renderCustomerOrganizationDetails,30,559,384,844,733,118.55,0.00%,35.5,1395.46,40201.1
688 /escm/messages,30,10,6,30,15,4.84,0.00%,1000.0,450.20,461.0
689 /escm/messages,30,10,7,43,12,6.56,0.00%,697.7,314.09,461.0
List_organizations_with_cache,30,2898,2198,3924,3399,393.88,0.00%,7.6,585.12,78370.6
524 /escm/login/auth,30,152,87,789,206,124.73,0.00%,.5,2.91,5976.0
Hit_the_portal_new,30,621,474,2010,709,285.41,0.00%,.5,286.24,591832.0
540 /success.txt,30,42014,41994,42161,42019,34.95,100.00%,.3,0.63,2206.0
541 /escm/login/doAuth?id=loginform,30,13129,5658,22629,19268,4541.97,0.00%,1.3,12.17,9400.7
543 /escm/,30,13168,4192,19754,17576,3639.02,0.00%,.4,3.82,8789.4
545 /escm/dashboard/index,30,14624,6248,19215,18745,3870.90,0.00%,.4,3.19,8628.5
546 /escm/dashboard/myAccountInfo,30,10921,5422,18027,17369,3500.34,0.00%,.4,3.18,8456.8
SP_user_login_46_new,30,94617,78806,109906,105673,8772.40,100.00%,.2,63.89,346817.4
598 /escm/customer/index,30,9301,5253,14556,11940,2177.36,0.00%,.4,6.31,16053.7
600 /escm/customer/list,30,7056,4224,12936,9327,2309.20,0.00%,2.3,35.75,15787.3
650 /escm/customer/setSearchBy,30,34,12,143,69,28.97,0.00%,209.8,93.63,457.0
652 /escm/images/sidebar-bg.jpg,30,19,4,188,29,33.41,0.00%,159.6,265.39,1703.0
654 /escm/messages,30,64,9,452,99,119.55,0.00%,66.4,29.88,461.0
653 /escm/customer/listByCriteria,30,993,250,3503,2462,899.64,0.00%,8.6,37.65,4502.0
658 /escm/customer/renderCustomerOrganizationDetails,30,2120,727,4643,4548,1463.84,0.00%,.5,19.10,40201.5
673 /escm/messages,30,18,11,70,24,10.95,0.00%,.5,0.23,461.0
674 /escm/messages,30,21,10,110,38,20.78,0.00%,.5,0.22,461.0
List_Organizations_without_cache,30,21392,16323,27364,24257,2934.15,0.00%,.3,239.69,714752.4
TOTAL,960,7528,4,109906,18489,17994.70,6.25%,.0,0.77,61923.0
