Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,10,215,47,1112,561,334.38,0.00%,9.0,52.48,5976.0
Hit_the_portal_with-cache,10,215,47,1112,561,334.38,0.00%,9.0,52.48,5976.0
143 /escm/productOffer/index,10,67,48,103,101,19.02,0.00%,97.1,185.64,1958.0
144 /escm/productOffer/list,10,52,45,67,61,7.25,0.00%,149.3,285.39,1958.0
147 /escm/productOffer/getAllService,10,44,29,59,56,9.91,100.00%,.2,0.33,2011.3
148 /escm/messages,10,33,22,57,43,9.86,100.00%,.2,0.29,1794.5
146 /escm/productOffer/offerList,10,52,33,90,89,22.14,100.00%,.2,0.33,2010.0
149 /escm/recentItem,10,42,29,60,57,10.52,100.00%,.2,0.33,2009.6
150 /escm/messages,10,28,21,42,36,6.57,100.00%,.2,0.29,1794.3
151 /escm/recentItem,10,38,28,56,50,8.24,100.00%,.2,0.33,2009.4
List_offers_46_SP_with_cache,10,358,267,505,478,76.01,100.00%,19.8,300.61,15545.1
676 /escm/login/doAuth?id=loginform,10,1092,536,1956,1687,474.77,0.00%,.2,1.50,9421.3
680 /escm/dashboard/myAccountInfo,10,818,243,2345,1152,603.79,0.00%,.2,1.31,8174.7
SP_user_login_46_with_cache,10,1910,787,3586,2683,842.02,0.00%,.2,2.75,17596.0
167 /escm/productOffer/productModelSearch/productModelSearch,10,2112,1513,3614,2330,564.85,0.00%,.2,3.71,23510.0
168 /escm/productOffer/showOfferDetails,10,1068,589,2321,2301,631.54,0.00%,.2,1.61,10017.8
169 /escm/messages,10,15,11,28,19,4.59,0.00%,.2,0.08,461.0
170 /escm/recentItem,10,21,8,58,32,14.70,0.00%,.2,0.06,341.0
Offer_search_by_offerid_46_with_cache,10,3219,2128,4662,4378,872.67,0.00%,.2,5.35,34329.8
TOTAL,190,600,8,4662,2143,970.06,36.84%,3.0,22.90,7731.3
