Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateOrganization,1,86,86,86,86,86,86,86,0.000%,11.62791,4.69,0.00
TOTAL,1,86,86,86,86,86,86,86,0.000%,11.62791,4.69,0.00
