Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateOrganization,1,75,75,75,75,75,75,75,0.000%,13.33333,5.38,0.00
TOTAL,1,75,75,75,75,75,75,75,0.000%,13.33333,5.38,0.00
