Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateOrganization,1,84,84,84,84,84,84,84,0.000%,11.90476,4.80,0.00
TOTAL,1,84,84,84,84,84,84,84,0.000%,11.90476,4.80,0.00
