Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createDraftOrder,5,2621,2504,3020,3814,3814,1707,3814,0.000%,.81261,0.33,0.00
TOTAL,5,2621,2504,3020,3814,3814,1707,3814,0.000%,.81261,0.33,0.00
