Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createDraftOrder,5,2089,2283,2491,2548,2548,1314,2548,0.000%,.80026,0.32,0.00
TOTAL,5,2089,2283,2491,2548,2548,1314,2548,0.000%,.80026,0.32,0.00
