Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createDraftOrder,5,1796,1580,2116,2261,2261,1461,2261,0.000%,.93336,0.38,0.00
TOTAL,5,1796,1580,2116,2261,2261,1461,2261,0.000%,.93336,0.38,0.00
