Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getofferListExtended,1,298,298,298,298,298,298,298,0.000%,3.35570,3207.37,0.00
TOTAL,1,298,298,298,298,298,298,298,0.000%,3.35570,3207.37,0.00
