Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
88 /escm/login/auth,10,151,46,552,262,150.82,0.00%,18.1,105.72,5976.0
93 /escm/images/favicon.ico,10,27,5,143,74,43.18,0.00%,69.9,13068.11,191359.0
New_hit_the_portal_4.6,10,723,491,1140,1030,216.63,0.00%,8.8,6704.21,782623.0
158 /escm/login/doAuth?id=loginform,10,2265,1111,4925,4879,1411.50,0.00%,2.0,19.07,9618.2
184 /escm/images/favicon.ico,10,5,3,12,10,2.75,0.00%,833.3,101.73,125.0
new_SP_user_login_4.6,10,3630,2128,6555,6475,1568.96,0.00%,1.5,904.81,607335.2
1 /escm/order/index,10,3196,1438,6244,5742,1710.43,0.00%,1.6,34.68,22173.1
51 /escm/images/favicon.ico,10,12,3,48,41,16.12,0.00%,208.3,25.43,125.0
56 /escm/images/sidebar-bg.jpg,10,7,3,16,13,4.20,0.00%,625.0,1039.43,1703.0
59 /escm/order/showOrderDetail,10,4791,1148,9736,9558,3528.83,0.00%,1.0,22.45,22386.8
69 /escm/messages,10,14,8,28,24,6.42,0.00%,357.1,160.78,461.0
70 /escm/recentItem,10,12,7,30,19,6.83,0.00%,333.3,111.00,341.0
new_List_Orders,10,9604,4183,13169,12742,3011.51,0.00%,.8,552.22,744666.9
TOTAL,130,1880,3,13169,6475,3129.23,0.00%,9.9,1771.51,183761.0
