Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createDraftOrder,1,1309,1309,1309,1309,1309,1309,1309,0.000%,.76394,0.31,0.00
TOTAL,1,1309,1309,1309,1309,1309,1309,1309,0.000%,.76394,0.31,0.00
