Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createDraftOrder,1,970,970,970,970,970,970,970,0.000%,1.03093,0.41,0.00
TOTAL,1,970,970,970,970,970,970,970,0.000%,1.03093,0.41,0.00
