Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createDraftOrder,1,1206,1206,1206,1206,1206,1206,1206,0.000%,.82919,0.33,0.00
TOTAL,1,1206,1206,1206,1206,1206,1206,1206,0.000%,.82919,0.33,0.00
