Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderHistory,1,1744,1744,1744,1744,1744,1744,1744,0.000%,.57339,10.96,0.00
TOTAL,1,1744,1744,1744,1744,1744,1744,1744,0.000%,.57339,10.96,0.00
