Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateAccount,1,64,64,64,64,64,64,64,0.000%,15.62500,6.15,0.00
TOTAL,1,64,64,64,64,64,64,64,0.000%,15.62500,6.15,0.00
