Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateAccount,1,68,68,68,68,68,68,68,0.000%,14.70588,5.79,0.00
TOTAL,1,68,68,68,68,68,68,68,0.000%,14.70588,5.79,0.00
