Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
updateAccount,1,60,60,60,60,60,60,60,0.000%,16.66667,6.56,0.00
TOTAL,1,60,60,60,60,60,60,60,0.000%,16.66667,6.56,0.00
