sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,559,610,FAIL
43 /escm/images/favicon.ico,10,12,FAIL
Hit_the_portal,907,999,FAIL
65 /escm/login/doAuth?id=loginform,1360,20853,FAIL
99 /escm/images/favicon.ico,13,6,PASS
sp_userlogin_46,1992,21562,FAIL
49 /escm/productOffer/index,1270,10572,FAIL
61 /escm/productOffer/getAllService,116,196,FAIL
59 /escm/productOffer/offerList,121,49,PASS
62 /escm/messages,20,20,PASS
63 /escm/messages,8,7,PASS
65 /escm/recentItem,20,12,PASS
66 /escm/recentItem,7,10,FAIL
60 /escm/productOffer/offerList,185,228,FAIL
67 /escm/messages,8,18,FAIL
72 /escm/recentItem,6,8,FAIL
List_offers,1841,11228,FAIL
133 /escm/productOffer/productModelSearch/productModelSearch,1583,11536,FAIL
178 /escm/images/favicon.ico,6,5,PASS
184 /escm/productOffer/showOfferDetails,780,747,PASS
185 /escm/messages,8,9,FAIL
186 /escm/recentItem,7,14,FAIL
Offer_search_by_id,3072,13107,FAIL
TOTAL,604,3991,FAIL
