Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createReseller,1,6182,6182,6182,6182,6182,6182,6182,0.000%,.16176,0.06,0.00
TOTAL,1,6182,6182,6182,6182,6182,6182,6182,0.000%,.16176,0.06,0.00
