timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency
24/10/2017 14:54,572,675 /escm/login/auth,200,OK,Thread Group 1-1,true,,5976,1,1,569
24/10/2017 14:54,572,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,true,,5976,1,1,569
24/10/2017 14:54,38,675 /escm/login/auth,200,OK,Thread Group 1-2,true,,5976,2,2,36
24/10/2017 14:54,38,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,true,,5976,2,2,36
24/10/2017 14:54,43,675 /escm/login/auth,200,OK,Thread Group 1-3,true,,5976,3,3,40
24/10/2017 14:54,43,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,true,,5976,3,3,40
24/10/2017 14:54,1291,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,true,,9596,3,3,285
24/10/2017 14:54,1110,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,true,,9588,3,3,220
24/10/2017 14:54,889,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,true,,8443,3,3,887
24/10/2017 14:54,2180,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,true,,18039,3,3,1172
24/10/2017 14:54,892,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-2,true,,8443,3,3,881
24/10/2017 14:54,2002,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,true,,18031,3,3,1101
24/10/2017 14:54,37,675 /escm/login/auth,200,OK,Thread Group 1-4,true,,5976,4,4,36
24/10/2017 14:54,37,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,true,,5976,4,4,36
24/10/2017 14:54,1130,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,true,,9589,4,4,257
24/10/2017 14:54,934,681 /escm/customer/index,200,OK,Thread Group 1-2,true,,16049,4,4,27
24/10/2017 14:54,949,681 /escm/customer/index,200,OK,Thread Group 1-1,true,,16045,4,4,26
24/10/2017 14:54,63,675 /escm/login/auth,200,OK,Thread Group 1-5,true,,5976,5,5,61
24/10/2017 14:54,63,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,true,,5976,5,5,61
24/10/2017 14:54,980,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-3,true,,8444,5,5,945
24/10/2017 14:54,2110,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,true,,18033,5,5,1202
24/10/2017 14:54,1337,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,true,,9588,5,5,237
24/10/2017 14:54,1024,682 /escm/customer/list,200,OK,Thread Group 1-2,true,,15778,5,5,1017
24/10/2017 14:54,20,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-2,true,,457,5,5,20
24/10/2017 14:54,16,686 /escm/messages,200,OK,Thread Group 1-2,true,,461,5,5,16
24/10/2017 14:54,44,675 /escm/login/auth,200,OK,Thread Group 1-6,true,,5976,6,6,41
24/10/2017 14:54,44,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,true,,5976,6,6,41
24/10/2017 14:54,1256,682 /escm/customer/list,200,OK,Thread Group 1-1,true,,15779,6,6,1217
24/10/2017 14:54,22,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-1,true,,457,6,6,21
24/10/2017 14:54,19,686 /escm/messages,200,OK,Thread Group 1-1,true,,461,6,6,19
24/10/2017 14:54,1081,681 /escm/customer/index,200,OK,Thread Group 1-3,true,,16049,6,6,20
24/10/2017 14:54,425,685 /escm/customer/listByCriteria,200,OK,Thread Group 1-2,true,,4413,6,6,424
24/10/2017 14:54,1067,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-4,true,,8443,6,6,1059
24/10/2017 14:54,2404,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,true,,18031,6,6,1296
24/10/2017 14:54,364,685 /escm/customer/listByCriteria,200,OK,Thread Group 1-1,true,,4413,6,6,361
24/10/2017 14:54,1626,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,true,,9588,6,6,257
24/10/2017 14:54,720,687 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-2,true,,40146,7,7,679
24/10/2017 14:54,10,688 /escm/messages,200,OK,Thread Group 1-2,true,,461,7,7,9
24/10/2017 14:54,22,689 /escm/messages,200,OK,Thread Group 1-2,true,,461,7,7,22
24/10/2017 14:54,3171,List_organizations_with_cache,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-2,true,,78226,7,7,2214
24/10/2017 14:54,188,675 /escm/login/auth,200,OK,Thread Group 1-7,true,,5976,7,7,183
24/10/2017 14:54,188,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,true,,5976,7,7,183
24/10/2017 14:54,676,687 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-1,true,,40147,7,7,644
24/10/2017 14:54,9,688 /escm/messages,200,OK,Thread Group 1-1,true,,461,7,7,9
24/10/2017 14:54,13,689 /escm/messages,200,OK,Thread Group 1-1,true,,461,7,7,12
24/10/2017 14:54,3308,List_organizations_with_cache,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,true,,78224,7,7,2309
24/10/2017 14:54,1550,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-6,true,,9587,7,7,288
24/10/2017 14:54,467,11 /escm/customer/listByCriteria,200,OK,Thread Group 1-2,true,,3338,7,7,466
24/10/2017 14:54,1194,681 /escm/customer/index,200,OK,Thread Group 1-4,true,,16044,7,7,17
24/10/2017 14:54,1400,682 /escm/customer/list,200,OK,Thread Group 1-3,true,,15779,7,7,1389
24/10/2017 14:54,12,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-3,true,,457,7,7,12
24/10/2017 14:54,13,686 /escm/messages,200,OK,Thread Group 1-3,true,,461,7,7,13
24/10/2017 14:54,516,11 /escm/customer/listByCriteria,200,OK,Thread Group 1-1,true,,3338,7,7,512
24/10/2017 14:54,91,675 /escm/login/auth,200,OK,Thread Group 1-8,true,,5976,8,8,90
24/10/2017 14:54,91,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,true,,5976,8,8,90
24/10/2017 14:54,1505,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-5,true,,8436,8,8,1496
24/10/2017 14:54,3131,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,true,,18024,8,8,1753
24/10/2017 14:54,570,685 /escm/customer/listByCriteria,200,OK,Thread Group 1-3,true,,4413,8,8,509
24/10/2017 14:54,593,687 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-3,true,,40143,8,8,558
24/10/2017 14:54,24,688 /escm/messages,200,OK,Thread Group 1-3,true,,461,8,8,23
