Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,30,155,36,769,415,195.62,0.00%,.5,2.88,5976.0
Hit_the_portal_with-cache,30,155,36,769,415,195.62,0.00%,.5,2.88,5976.0
676 /escm/login/doAuth?id=loginform,30,5009,922,11564,10348,3294.81,0.00%,.4,3.97,9590.9
680 /escm/dashboard/myAccountInfo,30,4818,654,11630,9410,2939.27,0.00%,.4,3.44,8404.3
SP_user_login_46_with_cache,30,9827,1599,17293,16099,5399.54,0.00%,.4,6.90,17995.2
193 /escm/order/index,30,5944,1351,12637,7614,2770.49,0.00%,.4,9.03,22214.3
194 /escm/order/list,30,5917,1375,13095,11134,2833.05,0.00%,.4,8.84,22057.8
196 /escm/order/showOrderDetail,30,1965,1180,7742,2055,1549.13,0.00%,.4,9.68,22379.9
197 /escm/messages,30,18,9,50,49,14.00,0.00%,.5,0.22,461.0
198 /escm/recentItem,30,13,8,39,17,5.61,0.00%,.5,0.17,341.0
List_orders_with_cache,30,13859,4585,21881,20193,4827.99,0.00%,.4,24.44,67454.0
199 /escm/order/searchOrder,30,426,323,694,515,94.75,0.00%,.5,1.69,3495.0
201 /escm/messages,30,14,8,30,22,5.49,0.00%,.5,0.22,461.0
202 /escm/recentItem,30,16,8,121,17,22.06,0.00%,.5,0.17,341.0
200 /escm/order/showOrderDetail,30,2642,1733,8867,3088,1230.64,0.00%,.4,10.18,23935.6
203 /escm/messages,30,15,9,45,20,6.59,0.00%,.5,0.22,461.0
204 /escm/recentItem,30,14,8,51,22,11.40,0.00%,.5,0.17,341.0
Order_search_by_order_id_with_cache,30,3128,2154,9263,3484,1210.99,0.00%,.4,12.28,29034.6
TOTAL,540,2996,8,21881,9263,4470.10,0.00%,6.7,87.30,13384.4
