sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,558,97,PASS
43 /escm/images/favicon.ico,10,12,FAIL
Hit_the_portal,908,436,PASS
65 /escm/login/doAuth?id=loginform,1440,15486,FAIL
99 /escm/images/favicon.ico,5,5,PASS
sp_userlogin_46,2164,16219,FAIL
