Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrganization,1,229,229,229,229,229,229,229,0.000%,4.36681,1.76,0.00
TOTAL,1,229,229,229,229,229,229,229,0.000%,4.36681,1.76,0.00
