Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrganization,1,313,313,313,313,313,313,313,0.000%,3.19489,1.29,0.00
TOTAL,1,313,313,313,313,313,313,313,0.000%,3.19489,1.29,0.00
