Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrgUser,1,233,233,233,233,233,233,233,0.000%,4.29185,1.09,0.00
TOTAL,1,233,233,233,233,233,233,233,0.000%,4.29185,1.09,0.00
