Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createOrgUser,1,184,184,184,184,184,184,184,0.000%,5.43478,1.39,0.00
TOTAL,1,184,184,184,184,184,184,184,0.000%,5.43478,1.39,0.00
