Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderHistory,1,1573,1573,1573,1573,1573,1573,1573,0.000%,.63573,12.15,0.00
TOTAL,1,1573,1573,1573,1573,1573,1573,1573,0.000%,.63573,12.15,0.00
