Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
getOrderHistory,1,2457,2457,2457,2457,2457,2457,2457,0.000%,.40700,7.78,0.00
TOTAL,1,2457,2457,2457,2457,2457,2457,2457,0.000%,.40700,7.78,0.00
