sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,583,119,PASS
43 /escm/images/favicon.ico,10,9,PASS
Hit_the_portal,902,501,PASS
65 /escm/login/doAuth?id=loginform,1365,5577,FAIL
99 /escm/images/favicon.ico,5,7,FAIL
sp_userlogin_46,1989,6484,FAIL
1 /escm/order/index,1042,4396,FAIL
12 /escm/order/showOrderDetail,85,173,FAIL
22 /escm/messages,12,13,FAIL
23 /escm/recentItem,10,13,FAIL
List_Orders,1307,4785,FAIL
104 /escm/order/searchOrder,385,1519,FAIL
105 /escm/order/searchOrder,154,827,FAIL
107 /escm/messages,9,14,FAIL
109 /escm/messages,8,9,FAIL
110 /escm/recentItem,9,15,FAIL
111 /escm/recentItem,7,9,FAIL
106 /escm/order/showOrderDetail,1223,2522,FAIL
108 /escm/order/showOrderDetail,1190,4972,FAIL
113 /escm/messages,10,15,FAIL
114 /escm/messages,9,11,FAIL
115 /escm/recentItem,12,8,PASS
116 /escm/recentItem,8,10,FAIL
order_search_by_offername,3041,9954,FAIL
TOTAL,557,1748,FAIL
