Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
createReseller,5,13635,13322,20286,22121,22121,1777,22121,0.000%,.19150,0.08,0.00
TOTAL,5,13635,13322,20286,22121,22121,1777,22121,0.000%,.19150,0.08,0.00
