IP,NoOfConnection
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,60                 
10.10.3.28,60                 
10.10.3.28,60                 
10.10.3.28,75                 
10.10.3.28,88                 
10.10.3.28,107                
10.10.3.28,130                
10.10.3.28,154                
10.10.3.28,177                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,179                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,180                
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,58                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,49                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
10.10.3.28,50                 
